assistant_text,audio_error_count,condition,created_at,id,interaction_index,model_name,order_group,participant_id,profile_id,profile_used,retrieval_used,scenario_id,session_id,turn_index,turn_metadata_json,user_text
"Holiii, ¿qué tal? Estoy aquí para charlar un rato. ¿Qué querés saber de mí? ¡Dame los detalles de tu día! Jajja.",0,A,2026-06-19T19:13:29.505063+00:00,10,1,openai/gpt-4o-mini,A-B,test,pf-0001,1,1,daily_conversation,exp-6226a8111382d9bf-i1,0,"{""active_situation"": ""open"", ""situation_confidence"": 0.0, ""retrieval_used"": true, ""moment_ids"": [""m-001"", ""m-002"", ""m-003""], ""has_behavioral_plan"": true}",
¡Qué bien! Me alegra un montón que te estés divirtiendo. ¿Qué has estado haciendo para pasarlo tan bien? ¡Cuéntame!,0,A,2026-06-19T19:14:02.443480+00:00,11,1,openai/gpt-4o-mini,A-B,test,pf-0001,1,0,daily_conversation,exp-6226a8111382d9bf-i1,1,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.9, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}","hola como estas? yo muy bien, me estoy diviritiendo mucho el dia de hoy"
"¡Chill es la mejor vibe! Jajja, ver TV y hablar de geopolitica suena interesante. ¿Hay algún tema en particular que te haya llamado la atención?",0,A,2026-06-19T19:14:32.124199+00:00,12,1,openai/gpt-4o-mini,A-B,test,pf-0001,1,0,daily_conversation,exp-6226a8111382d9bf-i1,2,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.85, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}","aca pasando el rato, solo he estado viendo la tv y hablando de geopolitica"
"Holiii, ¿qué tal? Espero que estés teniendo un buen día. A veces me da pereza levantarme temprano del toooodo XD. Cuéntame, ¿qué has estado haciendo últimamente? ¡Dame los detalles!",0,A,2026-06-19T19:18:26.324916+00:00,13,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,1,daily_conversation,exp-70d0b68738d7b9b3-i1,0,"{""active_situation"": ""open"", ""situation_confidence"": 0.0, ""retrieval_used"": true, ""moment_ids"": [""m-001"", ""m-002"", ""m-003""], ""has_behavioral_plan"": true}",
"¡Qué bien! Dormir es una de las mejores cosas de la vida, ¿no crees? Jajaja. Siempre que puedo, aprovecho para dormir un poco más. ¿Tienes alguna rutina especial antes de irte a la cama?",0,A,2026-06-19T19:19:10.485221+00:00,14,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,1,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.85, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",yo tambien duermo mucho somos muy parecidos
"¡Eso suena muy relajante! A veces, simplemente dejar que el sueño llegue es lo mejor. A mí, a veces me da por ver algo en la tele antes de dormir. Aunque a veces termino muy enganchada y me quedo despierta más tiempo. Jajaja. ¿Tú sueles ver algo antes de dormir?",0,A,2026-06-19T19:19:56.081459+00:00,15,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,2,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.9, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",nada especifico solo espero a que me da sueño y ya
"¡Ah, YouTube es genial para eso! Hay tantos videos interesantes y divertidos. ¿Tienes algún canal favorito al que siempre vuelvas? A veces me gusta perderme en vídeos de cosas raras o tutoriales de cocina. Jajaja.",0,A,2026-06-19T19:20:27.908792+00:00,16,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,3,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.9, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",veo youtube
"¡Qué divertido! Mario Kart siempre es un clásico, y esos videos deben ser super entretenidos. Esos momentos de competencia y risas nunca faltan. ¿Te gusta jugar Mario Kart también o solo disfrutas viendo los videos? ¡Dame más detalles!",0,A,2026-06-19T19:21:04.522227+00:00,17,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,4,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.8, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",hay un canal que se llama shortcat que hace videos de mario kart
"¡Qué genial! Jugar y ver a otros jugar es como tener lo mejor de ambos mundos. La emoción de competir es increíble, y luego ver las jugadas locas de los demás es muy divertido. ¿Tienes un personaje favorito en Mario Kart? Siempre hay algunos que son más divertidos que otros, jajjaja.",0,A,2026-06-19T19:21:29.883887+00:00,18,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,5,"{""active_situation"": ""banter_advice"", ""situation_confidence"": 0.9, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",me gusta hacer los dos
¡Está bien! A veces cambiar de personaje para variar es lo mejor. Cada uno tiene sus propias habilidades y estilos. Me encanta cómo algunos tienen poderes súper graciosos. ¿Te gusta más jugar solo o con amigos?,0,A,2026-06-19T19:22:03.433067+00:00,19,1,openai/gpt-4o-mini,A-B,pf002,pf-0001,1,0,daily_conversation,exp-70d0b68738d7b9b3-i1,6,"{""active_situation"": ""routine_register"", ""situation_confidence"": 0.9, ""retrieval_used"": false, ""moment_ids"": [], ""has_behavioral_plan"": true}",no tengo un favorito
